text,entity,umap_x,umap_y,tsne_x,tsne_y,type
gridMET,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_2cbb44,7.6029477,-2.3950074,-3.153527,45.49491,http://vivoweb.org/ontology/core#Dataset
FMMP Important Farmland Maps,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_345110,8.535807,3.8561032,25.841965,-15.456507,http://vivoweb.org/ontology/core#Dataset
C-CAP Regional Land Cover and Change,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_4446e5,8.753685,4.007328,18.423264,-32.09736,http://vivoweb.org/ontology/core#Dataset
Land Use Change Probability - 2100,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_4a7dc1,8.795693,4.1128554,18.429226,-32.126625,http://vivoweb.org/ontology/core#Dataset
California Natural Diversity Database,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_4ad2ec,10.976426,3.9026155,7.8194256,-49.654053,http://vivoweb.org/ontology/core#Dataset
Priority Conservation Areas,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_6133fe,8.952433,3.3929749,18.188814,-14.652412,http://vivoweb.org/ontology/core#Dataset
Pacific Veg Map,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_80ecb6,10.56439,2.949323,-1.3943617,-38.526737,http://vivoweb.org/ontology/core#Dataset
California Wildlife Crossing Database,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_811b71,10.987651,3.6992114,7.1572895,-48.210445,http://vivoweb.org/ontology/core#Dataset
Big-Game SO3362 Focus Areas,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_847f7d,9.431118,1.4659895,3.4260442,-2.9008818,http://vivoweb.org/ontology/core#Dataset
Wildlife Movement Barrier Priorities,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_a20271,9.315918,3.0700862,12.755226,-17.350134,http://vivoweb.org/ontology/core#Dataset
CPC Reintroduction Database,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_ce707f,8.271348,4.6850033,44.723362,-4.230967,http://vivoweb.org/ontology/core#Dataset
Wildland-Urban Interface (WUI) Change 1990-2020,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_cf0eb4,9.091988,4.1192946,18.695583,-32.161495,http://vivoweb.org/ontology/core#Dataset
Cropland Data Layer,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_e02911,8.522257,4.0870514,26.053068,-15.34787,http://vivoweb.org/ontology/core#Dataset
California Wildlife Crossing Projects StoryMap,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#dat_eaf18e,10.953678,3.5891144,7.096261,-48.114857,http://vivoweb.org/ontology/core#Dataset
